latitude,longitude
40.726965066999995,-73.953116629
40.824518508000004,-73.897849003
40.822552032,-73.867003392
40.712362272,-73.89122506
40.822082527,-73.890330326
40.800321033,-73.946718878
40.79605784,-73.967052307
40.760185479,-73.767842585
40.594978166,-74.00106367
40.67401470000001,-73.944544994
40.582620261,-73.986295804
40.707119109000004,-73.956715783
40.679249827,-73.861059157
40.795581553000005,-73.932297815
40.833770642,-73.863121526
40.857951666,-73.86323082199999
40.867856464,-73.864855531
40.750711429,-73.853529295
40.831581289,-73.927708067
40.821821426999996,-73.89587318699999
40.700181676999996,-73.92680828
40.748575492,-73.869053064
40.846288402,-73.90959847
40.678250863,-73.95289129300001
40.670234307,-73.95523289399999
40.748321856,-73.870489973
40.689585613,-73.906168972
40.676027116,-73.76871958
40.676027116,-73.76871958
40.704075646,-73.90011461
40.763060945999996,-73.959469859
40.837787921,-73.944021799
40.887459573,-73.86066017600001
40.682802875,-73.93800447699999
40.674080408,-73.929230678
40.85665355,-73.843871808
40.60811531,-73.754134666
40.679498977,-73.862825258
40.694779678,-73.82479554300001
40.673925161,-73.87311471
40.716392592,-73.961424555
40.631145975,-74.14016578399999
40.689576398,-73.868689345
40.841704821,-73.867142195
40.733926841,-73.871582398
40.678250863,-73.95289129300001
40.812512958,-73.952680664
40.810326831,-73.943625852
40.763320339,-73.973717904
40.869223027,-73.893394567
40.66428682,-73.99744944300001
40.895243728000004,-73.856361271
40.848100701,-73.856282346
40.898864051,-73.847856532
40.590354295,-73.952377211
40.739962208,-73.786331485
40.507255725,-74.241257554
40.862412086999996,-73.897982408
40.842473794,-73.865167317
40.86163645,-73.896154296
40.720255223,-74.00709028
40.709723595,-74.006746496
40.779167668,-73.953740642
40.772561679,-73.989766017
40.511586338,-74.249303727
40.511586338,-74.249303727
40.778463961,-73.92139645
40.851487774,-73.935457967
40.672260603000005,-73.965029797
40.610717129,-73.92098528300001
40.772875746,-73.930024683
40.608461244000004,-74.082436361
40.672260603000005,-73.965029797
40.672260603000005,-73.965029797
40.67275684,-73.937710997
40.653526116,-73.91882988100001
40.827969484,-73.91976976
40.846995125,-73.936239426
40.839276484,-73.903818363
40.673493609,-73.934865948
40.637768766,-74.076480627
40.690435308000005,-73.984769974
40.807199186,-73.918353502
40.763976222,-73.973241135
40.840876814,-73.872807133
40.577587416,-73.976336071
40.577587416,-73.976336071
40.665606421999996,-73.98763048
40.588686685999996,-73.805217409
40.756567585,-73.875931534
40.82752009,-73.92494464
40.757008865,-73.830244708
40.793217107,-73.967274016
40.753059425,-73.873072262
40.735330916,-73.875451472
40.735035624,-73.99123676800001
40.711784844,-73.992184882
40.577888916999996,-73.99475284399999
40.695958362,-73.937631622
40.656693553000004,-73.960669772
40.699113248,-73.91028489899999
40.771788985,-73.979195058
40.684773732,-73.994740832
40.649144254,-73.97659899
40.69871661,-73.923567749
40.72477402,-73.951357567
40.85665355,-73.843871808
40.826692021999996,-73.935391684
40.711642215,-73.993808085
40.73975965,-74.00252386300001
40.667415281,-73.954874317
40.826353684000004,-73.88786624
40.576645978,-73.976480396
40.774237779,-73.98210072399999
40.737691167,-73.852049564
40.590639412,-73.939933517
40.626723159,-73.941201544
40.739000026,-73.849628916
40.685775634,-73.964254699
40.862758367,-73.904934062
40.868467378000005,-73.821582846
40.673128176999995,-73.944628645
40.818413984,-73.907277131
40.671523496999995,-73.911201609
40.772412906999996,-73.931729267
40.848222076,-73.832328827
40.887332818000004,-73.84725001300001
40.863338448,-73.896469785
40.763136624,-73.831250687
40.851293043000005,-73.852133047
40.832986738,-73.898732189
40.738032677,-73.75987997899999
40.770757344,-73.959876747
40.732631553000004,-74.000290105
40.837781618,-73.919457971
40.685851213,-73.960364121
40.668883767,-73.93250571899999
40.698611396,-73.94063325399999
40.576703151,-73.99452975
40.576703151,-73.99452975
40.636818966999996,-74.118653127
40.823544692,-73.83640160899999
40.830588381999995,-73.943699024
40.75585293,-73.860635887
40.8441566,-73.900605449
40.663569288000005,-73.922840264
40.693199483,-73.971369131
40.622153897,-74.02728485600001
40.822026563,-73.953678332
40.821664228,-73.918856034
40.676056356,-73.920385125
40.762328565,-73.865914351
40.667867993,-73.766559801
40.648159153,-73.958206302
40.677233943000005,-73.792744273
40.723636973000005,-73.998298598
40.683883337,-73.91878572
40.627266117,-74.16600217199999
40.656686753,-73.950203437
40.827520105,-73.877013331
40.761246275,-73.966813233
40.745264925,-73.905033147
40.786123314,-73.942613564
40.851293043000005,-73.852133047
40.755025653000004,-73.99140739100001
40.829379700000004,-73.82500121300001
40.715506889000004,-74.005199555
40.64651679,-74.008862601
40.646529505,-73.960333425
40.619886707,-73.98942560399999
40.643292345999996,-73.929479535
40.756642041999996,-73.988371577
