average,std
13.026570048309178,12.145724256051198
20.966183574879228,20.75358804727186
32.42512077294686,27.476040451609062
40.60024154589372,34.445200473947715
50.01690821256039,40.594313208095855
58.20169082125604,46.61388471634662
63.6207729468599,48.907890883853305
70.19444444444444,54.23695210801138
76.67753623188406,57.47762536922029
83.36352657004831,63.50949545291693
87.3828502415459,67.25935486604742
92.78019323671498,68.61866898516753
97.79710144927536,70.82005769066097
101.44202898550725,73.77476017172333
106.98429951690821,71.43023686788443
111.09903381642512,73.58469666722526
115.47342995169082,73.78638392991503
119.69082125603865,74.36850771600334
125.96980676328502,75.08526751332248
129.08091787439614,74.12102958794372
135.6256038647343,75.32756115822399
140.57971014492753,73.85129773872468
146.5084541062802,78.99037534489327
149.70893719806764,75.27011626946167
154.66304347826087,75.43105587071585
157.32125603864733,75.81013776398476
163.12077294685992,76.64760256598179
165.70772946859904,75.53294759334746
168.981884057971,72.30107415513656
172.84299516908212,74.00177558070209
173.40700483091788,68.2506378318834
177.6413043478261,69.81089421398126
180.27898550724638,68.83152219208858
181.32608695652175,68.47054055092185
185.04830917874395,69.11083015683728
187.14734299516908,69.37063538217593
189.68115942028984,69.93186665272829
192.9951690821256,70.14152343651773
195.78864734299518,71.0354236772816
202.05072463768116,76.59118740036354
205.48792270531402,77.7277771588874
209.47946859903382,77.6954031163884
213.12077294685992,79.85578730782329
217.2391304347826,85.95357872632304
222.45531400966183,88.14066591914037
223.84178743961354,92.04503121145706
228.56521739130434,89.59907666355944
230.29468599033817,92.14238939517536
234.26932367149757,92.15356159170048
223.90217391304347,88.41984467568447
13.294685990338165,43.967270663934755
21.783816425120772,59.89251950520429
30.54951690821256,68.07113863617649
39.19565217391305,79.705392809597
45.96980676328502,85.62109150548525
56.67512077294686,104.8851315978553
64.61352657004831,105.76361579355896
66.68599033816425,102.88452298295337
74.8780193236715,113.50889364776543
74.35628019323671,113.88664960452438
87.70893719806763,125.94131010762145
85.73309178743962,119.40575495160033
90.67995169082126,129.03907296508484
92.23309178743962,131.23212099658417
93.00966183574879,120.85077796467945
104.02536231884058,143.41260222702095
113.3792270531401,148.8664451973068
