,station id,latitude,longitude,Arrivals_true,Departures_true,name,arrivals_characteristic,departures_characteristic
0,505,40.74901271,-73.98848395,211.3736264,213.1282051,6 Ave & W 33 St,1354.3144348974015,1364.0668355710818
1,3255,40.75058535,-73.99468482,208.16117219999998,212.8864469,8 Ave & W 31 St,865.5968428752839,881.5331472747926
2,525,40.75594159,-74.0021163,110.2161172,112.1062271,W 34 St & 11 Ave,204.15954502035174,207.56784847451556
3,447,40.76370739,-73.9851615,125.94505490000002,125.74358970000002,8 Ave & W 52 St,846.9479479577973,841.9464706643158
4,3356,40.7746671,-73.98470567,46.0,45.2014652,Amsterdam Ave & W 66 St,257.45210262490525,245.6112107899054
5,482,40.73935542,-73.99931783,179.29670330000005,182.70695969999997,W 15 St & 7 Ave,939.8604437031768,955.3965302164985
6,228,40.7546011,-73.97187886,72.1025641,72.32967033,E 48 St & 3 Ave,478.4825865846598,478.77617227998894
7,173,40.76068327,-73.98452729,173.0842491,173.8241758,Broadway & W 49 St,691.6874718556764,691.5878314217605
8,479,40.76019252,-73.9912551,163.79120880000005,164.7289377,9 Ave & W 45 St,929.6443318428684,932.3021175742226
9,450,40.76227205,-73.98788205,158.3663004,157.010989,W 49 St & 8 Ave,787.3175230692095,783.0151814107281
10,347,40.728846000000004,-74.00859100000002,149.41391940000003,152.9340659,Greenwich St & W Houston St,440.4691060805169,448.9117222872325
11,127,40.73172428,-74.00674436,167.35164840000004,169.47252749999996,Barrow St & Hudson St,583.3674464307586,591.3546273686311
12,3635,40.75462324,-73.99516761,88.81684982,89.32967033,W 36 St & 9 Ave,405.60989125105027,407.58383141061694
13,457,40.76695317,-73.98169333,206.3479853,202.985348,Broadway & W 58 St,722.679466682106,708.5111102375888
14,523,40.75466591,-73.99138152,179.5054945,180.14652009999998,W 38 St & 8 Ave,759.7728494507298,762.8456269483231
15,514,40.76087502,-74.00277668,242.67032969999997,251.014652,12 Ave & W 40 St,329.1698705988641,339.7775680025221
16,478,40.76030096,-73.99884222,130.4798535,131.6959707,11 Ave & W 41 St,354.0297333995742,358.2197358873604
17,484,40.75500254,-73.98014437,84.3040293,85.33333333,W 44 St & 5 Ave,640.1729505126079,642.7966806470617
18,490,40.751551,-73.993934,230.2600733,230.4688645,8 Ave & W 33 St,965.0116221211299,972.3967932847222
19,500,40.76228826,-73.98336183,98.66300366,101.64102559999999,Broadway & W 51 St,619.9427015533973,625.5715945542337
20,477,40.75640548,-73.9900262,247.99267400000002,248.22710619999998,W 41 St & 8 Ave,1042.3748059924449,1043.7169267350343
21,529,40.75756989999999,-73.99098507,128.6336996,129.8095238,W 42 St & 8 Ave,803.1446538554571,806.4924549356103
22,3459,40.75763228,-73.96930575,82.92673993,83.1978022,E 53 St & 3 Ave,562.3797646559126,564.1620931113416
23,3236,40.75898481,-73.99379969,115.9267399,112.34798529999999,W 42 St & Dyer Ave,575.8665347693498,567.3327475729582
24,3233,40.75724568,-73.97805914,149.24542119999995,149.7252747,E 48 St & 5 Ave,530.7077523842011,534.2816451304813
25,465,40.75513557,-73.98658032,189.1135531,189.06959709999998,Broadway & W 41 St,743.4307908281422,742.7196359636205
26,487,40.73314259,-73.97573881,146.5128205,134.959707,E 20 St & FDR Drive,208.82410852426972,194.8903057353051
27,469,40.76344058,-73.98268129,111.70695970000001,101.5934066,Broadway & W 53 St,738.5897394535916,704.655009756241
28,359,40.75510267,-73.97498696,204.5054945,201.80952380000002,E 47 St & Park Ave,715.3670718991075,708.6445840632463
29,379,40.749156,-73.9916,207.23809519999998,209.3919414,W 31 St & 7 Ave,1202.9271627408236,1216.5520390748086
30,3167,40.77966809,-73.98093045,148.89377290000004,142.76190480000002,Amsterdam Ave & W 73 St,595.7286342188813,550.4959145109079
31,3175,40.77748046,-73.98288594,67.84981685,65.50915751,W 70 St & Amsterdam Ave,358.42713564504083,335.0271421312991
32,3173,40.77750703,-73.98888588,81.07326007,81.23809524,Riverside Blvd & W 67 St,191.8812787423181,191.6407138497318
33,442,40.746646999999996,-73.993915,158.029304,158.021978,W 27 St & 7 Ave,764.2141419629478,767.5236288375373
34,546,40.74444921,-73.98303529,108.3296703,108.7985348,E 30 St & Park Ave S,604.4360748637187,605.4902144042217
35,3435,40.718821999999996,-73.99596,186.4285714,185.8168498,Grand St & Elizabeth St,687.3073300201132,686.7254246023233
36,328,40.72405549,-74.00965965,102.2564103,102.80952380000001,Watts St & Greenwich St,290.9645429818787,294.5050555305566
37,3534,40.805159,-73.95469200000002,55.46886447,60.1978022,Frederick Douglass Blvd & W 117 St,160.01356269831166,172.79075113943597
38,2006,40.76590936,-73.97634151,232.7912088,232.09157510000003,Central Park S & 6 Ave,539.6712691303593,524.7978034841044
39,383,40.735238,-74.000271,136.1208791,139.28571430000002,Greenwich Ave & Charles St,825.3433031837126,840.6224278313495
40,2021,40.75929124,-73.98859651,129.7619048,129.6996337,W 45 St & 8 Ave,698.1417402989811,698.4952519498293
41,3141,40.76500525,-73.95818491,158.2197802,158.9413919,1 Ave & E 68 St,386.8344332625152,388.45385139932694
42,72,40.76727216,-73.99392888,108.8791209,109.42857140000001,W 52 St & 11 Ave,211.51567615314474,212.39971550277184
43,519,40.751872999999996,-73.97770600000003,422.35164840000004,420.85714289999993,Pershing Square North,1637.3104791457095,1628.8201549467174
44,480,40.76669671,-73.99061728,106.56410259999998,106.5604396,W 53 St & 10 Ave,434.15838546303473,434.2379873792586
45,520,40.75992262,-73.97648516,100.42857140000001,105.025641,W 52 St & 5 Ave,411.8254253974276,427.6418869742285
