station id,latitude,longitude,Arrivals_true,Departures_true,Arrivals,Departures,name
507,40.73912601,-73.97973776,142.3882784,141.2344322,684.2860359,687.4713594,E 25 St & 2 Ave
380,40.73401143,-74.00293877,131.1758242,132.7435897,633.9673344,625.7590401,W 4 St & 7 Ave S
504,40.73221853,-73.98165557,183.996337,188.5494505,724.1933563,706.9631898,1 Ave & E 16 St
426,40.71754834,-74.01322069,280.1172161,296.010989,1101.419843,1048.898001,West St & Chambers St
446,40.74487634,-73.99529885,177.7362637,178.3113553,750.7589783,745.475264,W 24 St & 7 Ave
2009,40.71117444,-73.99682619,63.21611722,63.996337,288.4954911,284.8225786,Catherine St & Monroe St
382,40.73492695,-73.99200509,210.0695971,215.5347985,1469.034642,1434.85883,University Pl & E 14 St
515,40.76009437,-73.99461843,120.3076923,121.2600733,449.3779289,446.5025442,W 43 St & 10 Ave
3443,40.76132983,-73.97982001,130.1538462,136.2710623,386.532349,382.3671599,W 52 St & 6 Ave
449,40.76461837,-73.98789473,9.893772894,9.776556777,141.6216299,141.9452392,W 52 St & 9 Ave
3283,40.7882213,-73.97041561,73.63736264,58.61904762,209.2185323,235.3697046,W 89 St & Columbus Ave
377,40.72243797,-74.00566443,116.96337,124.1611722,508.4095087,489.709068,6 Ave & Canal St
458,40.751396,-74.005226,161.4102564,171.5238095,319.5888854,308.2301058,11 Ave & W 27 St
522,40.75714758,-73.97207836,62.27838828,62.9047619,390.4799219,386.7642653,E 51 St & Lexington Ave
3259,40.74937024,-73.99923384,64.83882784,65.2014652,381.4773463,377.5375564,9 Ave & W 28 St
2023,40.75968085,-73.97031366,51.46886447,51.6043956,368.964859,365.1130773,E 55 St & Lexington Ave
499,40.76915505,-73.98191841,236.3150183,232.5164835,520.7096327,529.0023254,Broadway & W 60 St
492,40.75019995,-73.99093085,219.2197802,228.7838828,811.157598,802.4792256,W 33 St & 7 Ave
3301,40.7919557,-73.968087,80.56776557,72.71428571,169.9033761,191.5228476,Columbus Ave & W 95 St
3224,40.73997354,-74.00513873,55.24908425,59.17948718,754.670783,728.9548654,W 13 St & Hudson St
491,40.74096374,-73.98602213,171.7399267,170.7362637,802.8812681,800.6389234,E 24 St & Park Ave S
385,40.75797322,-73.96603308,18.82051282,18.87179487,296.7628986,296.0128727,E 55 St & 2 Ave
526,40.74765947,-73.98490707,108.6117216,108.5531136,739.5090506,741.6921482,E 33 St & 5 Ave
459,40.746745,-74.007756,206.7069597,216.996337,473.2394369,457.3361523,W 20 St & 11 Ave
3643,40.75272201,-73.98123622,21.27106227,20.42124542,539.4128968,546.389826,E 41 St & 5 Ave
486,40.7462009,-73.98855723,155.0952381,154.6923077,829.7267824,828.3367527,Broadway & W 29 St
257,40.71939226,-74.00247214,90.61538462,92.48351648,402.6455448,394.7403423,Lispenard St & Broadway
540,40.74311555,-73.98215353,133.7985348,134.2380952,572.3048553,572.0177998,Lexington Ave & E 29 St
3002,40.711512,-74.015756,223.047619,223.8827839,393.8459909,391.4672352,South End Ave & Liberty St
517,40.751581,-73.97791,143.1025641,137.1098901,477.8238022,490.9102178,Pershing Square South
368,40.73038599,-74.00214988,228.5384615,233.4798535,867.5038577,849.283673,Carmine St & 6 Ave
3331,40.8013434,-73.97114574,41.47252747,40.34432234,89.96935432,97.83118054,Riverside Dr & W 104 St
3462,40.75118387,-73.97138715,57.59340659,57.78021978,363.9365492,362.8715358,E 44 St & 2 Ave
3641,40.74286877,-73.98918629,203.7106227,203.9194139,909.0246122,909.3011182,Broadway & W 25 St
530,40.771522,-73.990541,126.0512821,124.6996337,322.8364951,325.986243,11 Ave & W 59 St
164,40.75323098,-73.97032517,80.00732601,79.93040293,365.5094584,365.245203,E 47 St & 2 Ave
3231,40.7678008,-73.96592081,23.27472527,23.08058608,161.472756,162.9072053,E 67 St & Park Ave
362,40.75172632,-73.98753523,64.80586081,64.05860806,612.3711922,611.3201243,Broadway & W 37 St
3142,40.7612274,-73.96094022,112.7216117,112.9377289,387.253302,386.4348815,1 Ave & E 62 St
267,40.75097711,-73.98765428,111.8644689,110.1172161,646.2346736,644.6584734,Broadway & W 36 St
435,40.74173969,-73.99415556,296.3150183,300.7289377,977.0353707,965.3414681,W 21 St & 6 Ave
3320,40.79406661,-73.96286845,59.53479853,56.65934066,241.3060965,261.2598083,Central Park West & W 100 St
284,40.73901691,-74.00263761,50.31135531,51.35897436,546.8848069,536.0520425,Greenwich Ave & 8 Ave
423,40.76584941,-73.98690506,93.32234432,93.43956044,347.8436707,349.4030072,W 54 St & 9 Ave
297,40.734232,-73.986923,148.5347985,148.4871795,918.3617724,914.6837722,E 15 St & 3 Ave
533,40.75299641,-73.98721619,104.4945055,103.5054945,341.7746726,341.1078941,Broadway & W 38 St
524,40.75527307,-73.98316936,119.6300366,120.3479853,544.9367173,543.9102097,W 43 St & 6 Ave
441,40.756014,-73.967416,87.28937729,87.3003663,419.7125006,419.0259943,E 52 St & 2 Ave
3256,40.72771408,-74.01129574,163.4945055,165.007326,203.4482624,201.7286303,Pier 40 - Hudson River Park
3160,40.77896784,-73.97374737,101.3406593,93.72527473,220.5564684,246.4300957,Central Park West & W 76 St
305,40.76095756,-73.96724467,113.4285714,113.6080586,506.1259228,505.3264483,E 58 St & 3 Ave
485,40.75038009,-73.98338988,87.20512821,86.61538462,323.7195538,325.6871593,W 37 St & 5 Ave
3314,40.7937704,-73.971888,71.56410256,69.38095238,272.3508485,284.54603,W 95 St & Broadway
3316,40.7989937,-73.96621738,17.08791209,13.94139194,101.2452075,119.4295716,W 104 St & Amsterdam Ave
3155,40.76440023,-73.96648977,60.17216117,60.47619048,234.4224936,233.9010564,Lexington Ave & E 63 St
2008,40.70569254,-74.01677685,146.8498168,147.2564103,404.8766342,392.7298874,Little West St & 1 Pl
146,40.71625008,-74.0091059,79.61172161,80.3992674,803.4958499,791.2829789,Hudson St & Reade St
336,40.73047747,-73.99906065,145.1794872,149.7142857,1036.913216,1008.714109,Sullivan St & Washington Sq
495,40.76269882,-73.99301222,114.8351648,115.2893773,488.9188264,488.2020463,W 47 St & 10 Ave
405,40.739323,-74.008119,171.6227106,171.5347985,545.8455013,533.9992463,Washington St & Gansevoort St
494,40.74734825,-73.99723551,160.8827839,161.5091575,622.7676291,619.7836668,W 26 St & 8 Ave
536,40.74144387,-73.97536082,121.2051282,121.4505495,684.4128213,683.229555,1 Ave & E 30 St
3223,40.75899656,-73.96865398,102.040293,102.5128205,296.5777719,295.3554829,E 55 St & 3 Ave
3533,40.8114323,-73.9518776,25.02930403,25.91208791,104.4641686,101.1344023,St. Nicholas Ave & W 126 St
